Amount,WeaponName,Type,ItemName
100,Argenti r.II Rifle,Material,Basic Materials
80,"The Pitch Gun" mc.V,Material,Basic Materials
60,Cometa T2-9,Material,Basic Materials
110,KRF1-750 Dragonfly,Material,Basic Materials
15,"Dusk" ce.III,Material,Refined Materials
15,Catara mo.II,Material,Refined Materials
100,"Typhon" ra.XI,Material,Basic Materials
5,"Typhon" ra.XI,Material,Refined Materials
100,Daucus isg.III,Material,Basic Materials
5,Daucus isg.III,Material,Refined Materials
25,KRN886-127 Gast Machine Gun,Material,Refined Materials
120,Catena rt.IV Auto-Rifle,Material,Basic Materials
100,Volta r.I Repeater,Material,Basic Materials
140,Fuscina pi.I,Material,Basic Materials
155,KRR2-790 Omen,Material,Basic Materials
250,KRR3-792 Auger,Material,Basic Materials
30,KRR3-792 Auger,Material,Refined Materials
120,"Lionclaw" mc.VIII,Material,Basic Materials
100,Venom c.II 35,Material,Basic Materials
15,Venom c.II 35,Material,Refined Materials
150,Bane 45,Material,Basic Materials
40,Bane 45,Material,Refined Materials
100,Lamentum mm.IV,Material,Basic Materials
5,Lamentum mm.IV,Material,Refined Materials
